Host IP Address,DirectNet IP Address,DirectNet Port
10.2.12.160,10.2.14.19,3202
10.2.12.161,10.2.14.19,3202
10.2.12.163,10.2.14.19,3202
10.2.12.157,10.2.14.19,3202
10.2.12.175,10.2.14.19,3202
10.2.12.156,10.2.14.19,3202
10.2.12.182,10.2.14.19,3202
10.2.12.184,10.2.14.19,3202
10.2.12.152,10.2.14.19,3202
10.2.12.153,10.2.14.19,3202
10.2.12.186,10.2.14.19,3202
10.2.12.173,10.2.14.19,3202
10.2.12.183,10.2.14.19,3202
10.2.12.185,10.2.14.19,3202
10.2.12.158,10.2.14.19,3202
10.2.12.162,10.2.14.19,3202
10.2.12.169,10.2.14.19,3202
10.2.12.167,10.2.14.19,3202
10.2.12.151,10.2.14.19,3202
10.2.12.172,10.2.14.19,3202
10.2.12.181,10.2.14.19,3202
10.2.12.155,10.2.14.19,3202
10.2.12.192,10.2.14.19,3202
